Country,Density_km,Density_Mi,Population,Area_km2
Montenegro,45.4725,117.7737,628.0660,1381
Montserrat,48.9412,126.7576,4.9920,10
Morocco,82.6572,214.0821,36910.5600,44655
Mozambique,38.9918,100.9888,31255.4350,80159
Myanmar,80.4191,208.2855,54409.8000,67657
Namibia,3.0776,7.9710,2540.9050,82561
Nauru,515.4286,1334.9600,10.8240,2
Nepal,197.9658,512.7315,29136.8080,14718
Netherlands,409.4354,1060.4377,17134.8720,4185
New Caledonia,15.3700,39.8083,285.4980,1857
New Zealand,17.8293,46.1778,4822.2330,27046
Nicaragua,50.8123,131.6039,6624.5540,13037
Niger,19.1055,49.4832,24206.6440,126700
Nigeria,223.1508,577.9606,206139.5890,92376
Northern Mariana Islands (Commonwealth of the),124.0496,321.2884,57.5590,46
Norway,16.7425,43.3630,5421.2410,32380
Oman,16.4996,42.7340,5106.6260,30950
Pakistan,250.4698,648.7168,220892.3400,88191
Palestine,820.1630,2124.2222,5101.4140,622
Panama,57.2121,148.1794,4314.7670,7541
Papua New Guinea,19.3307,50.0665,8947.0240,46284
Paraguay,17.5353,45.4166,7132.5380,40675
Peru,25.6547,66.4457,32971.8540,128521
Philippines,320.0821,829.0127,109581.0780,34235
Poland,121.0398,313.4931,37846.6110,31267
Portugal,110.7255,286.7790,10196.7090,9209
Puerto Rico,322.5313,835.3562,2860.8530,887
Qatar,248.6668,644.0469,2881.0530,1158
Congo,16.1348,41.7890,5518.0870,34200
Réunion,356.5560,923.4799,895.3120,251
Romania,80.6981,209.0080,19237.6910,23839
Russian Federation,8.5351,22.1058,145934.4620,1709824
Rwanda,491.7692,1273.6823,12952.2180,2633
Saint Barthélemy,470.3333,1218.1633,9.8770,2
Saint Kitts and Nevis,203.8276,527.9134,53.1990,26
Saint Lucia,298.0958,772.0681,183.6270,61
Saint Martin,729.5472,1889.5272,38.6660,5
Saint Pierre and Miquelon,23.9421,62.0102,5.7940,24
Saint Vincent and the Grenadines,285.1928,738.6494,110.9400,38
San Marino,556.2459,1440.6769,33.9310,6
Sao Tome and Principe,227.3434,588.8193,219.1590,96
Saudi Arabia,16.1948,41.9446,34813.8710,214969
Senegal,85.1147,220.4470,16743.9270,19672
Serbia,98.8827,256.1061,8737.3710,8836
Seychelles,217.5819,563.5370,98.3470,45
Sierra Leone,111.1930,287.9898,7976.9830,7174
Singapore,8239.9183,21341.3884,5850.3420,71
Sint Maarten,1261.0588,3266.1424,42.8760,3
Slovakia,111.3372,288.3633,5459.6420,4903
Slovenia,102.5471,265.5971,2078.9380,2027
Somalia,24.9244,64.5542,15893.2220,63765
South Africa,48.5724,125.8025,59308.6900,122103
Republic of Korea,511.6175,1325.0892,51269.1850,10021
South Sudan,18.0618,46.7801,11193.7250,61974
Spain,92.4022,239.3217,46754.7780,50599
Sri Lanka,326.3717,845.3028,21413.2490,6561
Sudan,23.2490,60.2150,43849.2600,188606
Suriname,3.5810,9.2747,586.6320,16382
Sweden,22.4281,58.0888,10099.2650,45029
Switzerland,209.6362,542.9578,8654.6220,4128
Syrian Arab Republic,94.5062,244.7711,17500.6580,18518
Tajikistan,66.6502,172.6240,9537.6450,14310
United Republic of Tanzania,63.2050,163.7009,59734.2180,94508
Thailand,136.0305,352.3190,69799.9780,51312
Timor-Leste,88.6409,229.5800,1318.4450,1487
Togo,145.7907,377.5979,8278.7240,5678
Tokelau,113.0833,292.8858,1.3570,1
Trinidad and Tobago,272.8047,706.5641,1399.4880,513
Tunisia,72.2365,187.0926,11818.6190,16361
Turkey,107.6355,278.7759,84339.0670,78356
Turks and Caicos Islands,40.8407,105.7775,38.7170,94
Tuvalu,453.5385,1174.6646,11.7920,2
Uganda,189.3645,490.4542,45741.0070,24155
Ukraine,72.4669,187.6892,43733.7620,60350
United Arab Emirates,118.3062,306.4132,9890.4020,8360
The United Kingdom,279.4813,723.8566,67886.0110,24290
United States of America,35.3160,91.4683,331002.6510,937261
United States Virgin Islands,300.9366,779.4258,104.4250,34
Uruguay,19.1883,49.6976,3473.7300,18103
Uzbekistan,74.8082,193.7533,33469.2030,44740
Venezuela (Bolivarian Republic of),31.0285,80.3639,28435.9400,91644
Viet Nam,293.8860,761.1648,97338.5790,33121
Yemen,56.4920,146.3143,29825.9640,52796
Zambia,24.4269,63.2656,18383.9550,75261
Zimbabwe,38.0362,98.5138,14862.9240,39075
Eswatini,67,175,1159.389,1720
Zambia,24.09,62.38,18128.078,75261.8
